Z,Drift,CCS,CCS Std.Dev.
24,0.025715,8656.28,21.5209
24,0.025853,8677.42,21.5388
24,0.025991,8698.52,21.557
24,0.026129,8719.56,21.5754
24,0.026267,8740.56,21.5941
24,0.026406,8761.65,21.6132
24,0.026544,8782.55,21.6324
24,0.026682,8803.4,21.6518
24,0.02682,8824.2,21.6714
24,0.026959,8845.1,21.6915
24,0.027097,8865.8,21.7116
24,0.027235,8886.46,21.7319
24,0.027374,8907.22,21.7526
24,0.027512,8927.78,21.7733
25,0.000138,2903.14,44.9034
25,0.000276,2968.62,43.9623
25,0.000415,3033.37,43.0983
25,0.000553,3096.32,42.0934
25,0.000691,3158.1,41.3401
25,0.00083,3219.26,40.5996
25,0.000968,3278.75,39.705
25,0.001106,3337.26,39.0627
25,0.001244,3394.88,38.4961
25,0.001383,3452.03,37.8252
25,0.001521,3507.87,37.2175
25,0.001659,3562.88,36.6481
25,0.001797,3617.1,36.1049
25,0.001936,3670.94,35.5825
25,0.002074,3723.66,35.0867
25,0.002212,3775.69,34.6122
25,0.00235,3827.04,34.1398
25,0.002489,3877.86,33.4653
25,0.002627,3927.61,33.0268
25,0.002765,3976.96,32.7644
25,0.002903,4025.8,32.4899
25,0.003042,4074.51,32.1576
25,0.00318,4122.33,31.7799
25,0.003318,4169.57,31.3844
